Date;Time;DateTime;Country;DC_Power;AC_Power;Ambient_Temperature;Module_Temperature;Irradiation;Day;Month;Hour;Daily_Yield;Total_Yield
01/01/2024;13;01/01/2024 13:00;Brazil;65.014;60.893;20.18;24.09;0.883;1;1;13;486.372;6809.2080000000005
01/01/2024;14;01/01/2024 14:00;Brazil;54.481;49.635;20.49;26.15;0.788;1;1;14;486.372;7295.58
01/01/2024;15;01/01/2024 15:00;Brazil;42.806;40.961;20.15;26.67;0.611;1;1;15;486.372;7781.952
01/01/2024;16;01/01/2024 16:00;Brazil;30.172;27.445;20.03;24.72;0.418;1;1;16;486.372;8268.324
01/01/2024;17;01/01/2024 17:00;Brazil;19.466;18.015;20.17;24.7;0.282;1;1;17;486.372;8754.696
01/01/2024;18;01/01/2024 18:00;Brazil;12.464;11.794;20.1;25.36;0.163;1;1;18;486.372;9241.068000000001
01/01/2024;19;01/01/2024 19:00;Brazil;0.0;0.0;19.27;24.81;0.007;1;1;19;486.372;9727.44
01/01/2024;20;01/01/2024 20:00;Brazil;0.0;0.0;19.94;25.71;0.013;1;1;20;486.372;10213.812
01/01/2024;21;01/01/2024 21:00;Brazil;0.0;0.0;19.2;26.28;0.0;1;1;21;486.372;10700.184000000001
01/01/2024;22;01/01/2024 22:00;Brazil;0.0;0.0;20.19;26.3;0.0;1;1;22;486.372;11186.556
01/01/2024;23;01/01/2024 23:00;Brazil;0.0;0.0;20.11;26.07;0.0;1;1;23;486.372;11672.928
01/01/2024;0;01/01/2024 00:00;India;0.0;0.0;17.93;22.86;0.0;1;1;0;349.77500000000003;349.77500000000003
01/01/2024;1;01/01/2024 01:00;India;0.0;0.0;18.5;24.54;0.0;1;1;1;349.77500000000003;699.5500000000001
01/01/2024;2;01/01/2024 02:00;India;0.0;0.0;17.55;24.51;0.009;1;1;2;349.77500000000003;1049.325
01/01/2024;3;01/01/2024 03:00;India;0.0;0.0;18.93;23.57;0.015;1;1;3;349.77500000000003;1399.1000000000001
01/01/2024;4;01/01/2024 04:00;India;0.0;0.0;18.57;24.59;0.0;1;1;4;349.77500000000003;1748.8750000000002
01/01/2024;5;01/01/2024 05:00;India;0.0;0.0;18.94;23.37;0.0;1;1;5;349.77500000000003;2098.65
01/01/2024;6;01/01/2024 06:00;India;0.0;0.0;17.83;22.85;0.0;1;1;6;349.77500000000003;2448.425
01/01/2024;7;01/01/2024 07:00;India;10.808;9.695;18.12;22.23;0.203;1;1;7;349.77500000000003;2798.2000000000003
01/01/2024;8;01/01/2024 08:00;India;20.988;19.55;18.27;23.8;0.352;1;1;8;349.77500000000003;3147.9750000000004
01/01/2024;9;01/01/2024 09:00;India;34.802;30.42;17.9;22.18;0.575;1;1;9;349.77500000000003;3497.7500000000005
01/01/2024;10;01/01/2024 10:00;India;44.378;39.438;18.69;22.03;0.761;1;1;10;349.77500000000003;3847.5250000000005
01/01/2024;11;01/01/2024 11:00;India;56.262;50.179;17.23;22.79;0.926;1;1;11;349.77500000000003;4197.3
01/01/2024;12;01/01/2024 12:00;India;60.978;55.315;18.26;25.73;1.025;1;1;12;349.77500000000003;4547.075000000001
01/01/2024;13;01/01/2024 13:00;India;56.63;51.42;18.58;22.64;0.912;1;1;13;349.77500000000003;4896.85
01/01/2024;14;01/01/2024 14:00;India;42.238;38.29;17.75;22.93;0.673;1;1;14;349.77500000000003;5246.625000000001
01/01/2024;15;01/01/2024 15:00;India;31.556;26.739;18.57;22.69;0.528;1;1;15;349.77500000000003;5596.400000000001
01/01/2024;16;01/01/2024 16:00;India;20.539;19.087;17.44;22.13;0.329;1;1;16;349.77500000000003;5946.175
01/01/2024;17;01/01/2024 17:00;India;10.949;9.642;18.66;22.32;0.183;1;1;17;349.77500000000003;6295.950000000001
01/01/2024;18;01/01/2024 18:00;India;0.0;0.0;18.61;22.13;0.016;1;1;18;349.77500000000003;6645.725
01/01/2024;19;01/01/2024 19:00;India;0.0;0.0;19.56;21.93;0.0;1;1;19;349.77500000000003;6995.500000000001
01/01/2024;20;01/01/2024 20:00;India;0.0;0.0;18.65;23.01;0.0;1;1;20;349.77500000000003;7345.275000000001
01/01/2024;21;01/01/2024 21:00;India;0.0;0.0;17.58;24.43;0.0;1;1;21;349.77500000000003;7695.050000000001
01/01/2024;22;01/01/2024 22:00;India;0.0;0.0;18.29;22.48;0.0;1;1;22;349.77500000000003;8044.825000000001
01/01/2024;23;01/01/2024 23:00;India;0.0;0.0;17.18;22.29;0.0;1;1;23;349.77500000000003;8394.6
01/01/2024;0;01/01/2024 00:00;Australia;0.0;0.0;8.32;14.89;0.015;1;1;0;499.677;499.677
01/01/2024;1;01/01/2024 01:00;Australia;0.0;0.0;7.74;11.05;0.0;1;1;1;499.677;999.354
01/01/2024;2;01/01/2024 02:00;Australia;0.0;0.0;8.57;12.85;0.016;1;1;2;499.677;1499.031
01/01/2024;3;01/01/2024 03:00;Australia;0.0;0.0;7.65;14.87;0.004;1;1;3;499.677;1998.708
01/01/2024;4;01/01/2024 04:00;Australia;0.0;0.0;7.45;12.55;0.0;1;1;4;499.677;2498.385
01/01/2024;5;01/01/2024 05:00;Australia;9.305;8.536;7.58;13.47;0.11;1;1;5;499.677;2998.062
01/01/2024;6;01/01/2024 06:00;Australia;16.516;14.713;8.66;12.64;0.256;1;1;6;499.677;3497.739
01/01/2024;7;01/01/2024 07:00;Australia;24.903;21.896;8.05;13.09;0.363;1;1;7;499.677;3997.416
01/01/2024;8;01/01/2024 08:00;Australia;33.42;31.058;8.81;13.0;0.51;1;1;8;499.677;4497.093
01/01/2024;9;01/01/2024 09:00;Australia;45.469;41.812;9.0;13.43;0.724;1;1;9;499.677;4996.77
01/01/2024;10;01/01/2024 10:00;Australia;55.531;48.068;7.45;13.63;0.848;1;1;10;499.677;5496.447
01/01/2024;11;01/01/2024 11:00;Australia;58.844;52.405;8.39;12.15;0.901;1;1;11;499.677;5996.124
01/01/2024;12;01/01/2024 12:00;Australia;62.275;55.048;8.75;13.5;0.962;1;1;12;499.677;6495.801
01/01/2024;13;01/01/2024 13:00;Australia;65.954;57.799;8.02;12.5;1.028;1;1;13;499.677;6995.478
01/01/2024;14;01/01/2024 14:00;Australia;54.76;48.8;7.95;13.92;0.826;1;1;14;499.677;7495.155000000001
01/01/2024;15;01/01/2024 15:00;Australia;47.622;43.126;8.09;12.68;0.743;1;1;15;499.677;7994.832
01/01/2024;16;01/01/2024 16:00;Australia;36.163;31.993;8.61;11.8;0.57;1;1;16;499.677;8494.509
01/01/2024;17;01/01/2024 17:00;Australia;23.611;20.955;8.17;11.73;0.362;1;1;17;499.677;8994.186
01/01/2024;18;01/01/2024 18:00;Australia;16.622;14.647;8.24;12.94;0.276;1;1;18;499.677;9493.863000000001
01/01/2024;19;01/01/2024 19:00;Australia;10.4;8.821;8.13;15.18;0.158;1;1;19;499.677;9993.54
01/01/2024;20;01/01/2024 20:00;Australia;0.0;0.0;7.13;10.33;0.009;1;1;20;499.677;10493.217
01/01/2024;21;01/01/2024 21:00;Australia;0.0;0.0;9.08;12.43;0.01;1;1;21;499.677;10992.894
01/01/2024;22;01/01/2024 22:00;Australia;0.0;0.0;9.14;13.71;0.007;1;1;22;499.677;11492.571
01/01/2024;23;01/01/2024 23:00;Australia;0.0;0.0;8.45;13.04;0.011;1;1;23;499.677;11992.248
02/01/2024;0;02/01/2024 00:00;Norway;0.0;0.0;-9.69;-6.73;0.0;2;1;0;149.785;3647.1130000000003
02/01/2024;1;02/01/2024 01:00;Norway;0.0;0.0;-9.64;-5.11;0.006;2;1;1;149.785;3796.898
02/01/2024;2;02/01/2024 02:00;Norway;0.0;0.0;-9.32;-4.1;0.036;2;1;2;149.785;3946.683
02/01/2024;3;02/01/2024 03:00;Norway;0.0;0.0;-9.39;-4.82;0.0;2;1;3;149.785;4096.468
02/01/2024;4;02/01/2024 04:00;Norway;0.0;0.0;-9.53;-5.74;0.0;2;1;4;149.785;4246.253000000001
02/01/2024;5;02/01/2024 05:00;Norway;0.0;0.0;-9.68;-4.79;0.0;2;1;5;149.785;4396.0380000000005
02/01/2024;6;02/01/2024 06:00;Norway;0.0;0.0;-10.22;-4.1;0.0;2;1;6;149.785;4545.823
02/01/2024;7;02/01/2024 07:00;Norway;0.0;0.0;-10.47;-5.31;0.008;2;1;7;149.785;4695.608
02/01/2024;8;02/01/2024 08:00;Norway;0.0;0.0;-9.58;-3.79;0.016;2;1;8;149.785;4845.393
02/01/2024;9;02/01/2024 09:00;Norway;0.0;0.0;-9.68;-4.89;0.011;2;1;9;149.785;4995.178
02/01/2024;10;02/01/2024 10:00;Norway;19.825;17.712;-9.93;-3.56;0.42;2;1;10;149.785;5144.963
02/01/2024;11;02/01/2024 11:00;Norway;35.041;32.685;-9.81;-4.24;0.683;2;1;11;149.785;5294.7480000000005
02/01/2024;12;02/01/2024 12:00;Norway;50.683;45.719;-10.05;-4.29;1.03;2;1;12;149.785;5444.533
02/01/2024;13;02/01/2024 13:00;Norway;41.433;38.15;-9.73;-5.88;0.766;2;1;13;149.785;5594.318
02/01/2024;14;02/01/2024 14:00;Norway;17.892;15.519;-9.76;-5.25;0.383;2;1;14;149.785;5744.103
02/01/2024;15;02/01/2024 15:00;Norway;0.0;0.0;-9.8;-4.03;0.008;2;1;15;149.785;5893.888
02/01/2024;16;02/01/2024 16:00;Norway;0.0;0.0;-9.95;-4.78;0.0;2;1;16;149.785;6043.673
02/01/2024;17;02/01/2024 17:00;Norway;0.0;0.0;-9.99;-4.34;0.003;2;1;17;149.785;6193.4580000000005
02/01/2024;18;02/01/2024 18:00;Norway;0.0;0.0;-9.79;-2.77;0.0;2;1;18;149.785;6343.243
02/01/2024;19;02/01/2024 19:00;Norway;0.0;0.0;-9.75;-4.19;0.0;2;1;19;149.785;6493.028
02/01/2024;20;02/01/2024 20:00;Norway;0.0;0.0;-9.23;-3.53;0.0;2;1;20;149.785;6642.813
02/01/2024;21;02/01/2024 21:00;Norway;0.0;0.0;-10.15;-4.77;0.001;2;1;21;149.785;6792.598
02/01/2024;22;02/01/2024 22:00;Norway;0.0;0.0;-9.73;-4.96;0.022;2;1;22;149.785;6942.383
02/01/2024;23;02/01/2024 23:00;Norway;0.0;0.0;-9.56;-5.03;0.0;2;1;23;149.785;7092.168
02/01/2024;0;02/01/2024 00:00;Brazil;0.0;0.0;20.78;23.41;0.0;2;1;0;511.32800000000003;12184.256000000001
02/01/2024;1;02/01/2024 01:00;Brazil;0.0;0.0;19.92;24.42;0.027;2;1;1;511.32800000000003;12695.584
02/01/2024;2;02/01/2024 02:00;Brazil;0.0;0.0;20.02;26.46;0.0;2;1;2;511.32800000000003;13206.912
02/01/2024;3;02/01/2024 03:00;Brazil;0.0;0.0;20.4;24.42;0.0;2;1;3;511.32800000000003;13718.24
02/01/2024;4;02/01/2024 04:00;Brazil;0.0;0.0;19.19;25.49;0.01;2;1;4;511.32800000000003;14229.568000000001
02/01/2024;5;02/01/2024 05:00;Brazil;0.0;0.0;19.64;26.28;0.0;2;1;5;511.32800000000003;14740.896
02/01/2024;6;02/01/2024 06:00;Brazil;12.609;11.373;20.4;26.7;0.193;2;1;6;511.32800000000003;15252.224
02/01/2024;7;02/01/2024 07:00;Brazil;19.897;18.565;20.24;24.11;0.246;2;1;7;511.32800000000003;15763.552
02/01/2024;8;02/01/2024 08:00;Brazil;32.321;28.324;20.52;24.49;0.465;2;1;8;511.32800000000003;16274.880000000001
02/01/2024;9;02/01/2024 09:00;Brazil;45.144;43.301;20.64;27.0;0.669;2;1;9;511.32800000000003;16786.208000000002
02/01/2024;10;02/01/2024 10:00;Brazil;57.822;55.884;20.38;24.74;0.844;2;1;10;511.32800000000003;17297.536
02/01/2024;11;02/01/2024 11:00;Brazil;71.129;62.003;21.02;23.98;0.958;2;1;11;511.32800000000003;17808.864
02/01/2024;12;02/01/2024 12:00;Brazil;74.491;70.786;20.37;25.43;1.03;2;1;12;511.32800000000003;18320.192
02/01/2024;13;02/01/2024 13:00;Brazil;70.62;65.415;20.27;24.65;1.028;2;1;13;511.32800000000003;18831.52
02/01/2024;14;02/01/2024 14:00;Brazil;58.528;54.12;19.74;24.15;0.837;2;1;14;511.32800000000003;19342.848
02/01/2024;15;02/01/2024 15:00;Brazil;45.089;40.445;19.58;25.17;0.635;2;1;15;511.32800000000003;19854.176
02/01/2024;16;02/01/2024 16:00;Brazil;33.139;31.61;20.01;25.32;0.438;2;1;16;511.32800000000003;20365.504
02/01/2024;17;02/01/2024 17:00;Brazil;20.025;18.661;19.15;24.6;0.27;2;1;17;511.32800000000003;20876.832000000002
02/01/2024;18;02/01/2024 18:00;Brazil;11.925;10.841;20.22;24.8;0.167;2;1;18;511.32800000000003;21388.16
02/01/2024;19;02/01/2024 19:00;Brazil;0.0;0.0;20.77;25.28;0.0;2;1;19;511.32800000000003;21899.488
02/01/2024;20;02/01/2024 20:00;Brazil;0.0;0.0;19.7;26.34;0.008;2;1;20;511.32800000000003;22410.816000000003
02/01/2024;21;02/01/2024 21:00;Brazil;0.0;0.0;19.38;25.48;0.018;2;1;21;511.32800000000003;22922.144
02/01/2024;22;02/01/2024 22:00;Brazil;0.0;0.0;20.56;25.1;0.0;2;1;22;511.32800000000003;23433.472
02/01/2024;23;02/01/2024 23:00;Brazil;0.0;0.0;19.69;23.81;0.0;2;1;23;511.32800000000003;23944.800000000003
02/01/2024;0;02/01/2024 00:00;India;0.0;0.0;18.69;24.05;0.01;2;1;0;358.055;8752.655
02/01/2024;1;02/01/2024 01:00;India;0.0;0.0;18.29;22.11;0.0;2;1;1;358.055;9110.710000000001
02/01/2024;2;02/01/2024 02:00;India;0.0;0.0;18.31;22.66;0.005;2;1;2;358.055;9468.765000000001
02/01/2024;3;02/01/2024 03:00;India;0.0;0.0;18.18;22.14;0.015;2;1;3;358.055;9826.820000000002
02/01/2024;4;02/01/2024 04:00;India;0.0;0.0;18.51;23.32;0.025;2;1;4;358.055;10184.875
02/01/2024;5;02/01/2024 05:00;India;0.0;0.0;18.42;23.79;0.0;2;1;5;358.055;10542.93
02/01/2024;6;02/01/2024 06:00;India;0.0;0.0;18.6;23.18;0.04;2;1;6;358.055;10900.985
02/01/2024;7;02/01/2024 07:00;India;10.437;9.383;18.32;24.01;0.213;2;1;7;358.055;11259.04
02/01/2024;8;02/01/2024 08:00;India;21.871;20.479;18.55;22.33;0.351;2;1;8;358.055;11617.095000000001
02/01/2024;9;02/01/2024 09:00;India;32.304;28.38;19.05;23.68;0.556;2;1;9;358.055;11975.150000000001
02/01/2024;10;02/01/2024 10:00;India;46.379;43.333;18.57;23.02;0.789;2;1;10;358.055;12333.205000000002
02/01/2024;11;02/01/2024 11:00;India;58.406;52.119;18.46;23.23;0.971;2;1;11;358.055;12691.26
02/01/2024;12;02/01/2024 12:00;India;59.766;55.02;18.03;23.02;0.975;2;1;12;358.055;13049.315
02/01/2024;13;02/01/2024 13:00;India;53.521;47.895;18.12;23.51;0.891;2;1;13;358.055;13407.37
02/01/2024;14;02/01/2024 14:00;India;47.442;40.197;17.66;25.25;0.764;2;1;14;358.055;13765.425000000001
02/01/2024;15;02/01/2024 15:00;India;38.221;34.96;18.47;25.75;0.614;2;1;15;358.055;14123.480000000001
02/01/2024;16;02/01/2024 16:00;India;19.298;16.117;17.45;22.78;0.304;2;1;16;358.055;14481.535000000002
02/01/2024;17;02/01/2024 17:00;India;10.782;10.172;17.84;22.37;0.183;2;1;17;358.055;14839.59
02/01/2024;18;02/01/2024 18:00;India;0.0;0.0;17.95;23.03;0.005;2;1;18;358.055;15197.645
02/01/2024;19;02/01/2024 19:00;India;0.0;0.0;18.73;21.6;0.011;2;1;19;358.055;15555.7
02/01/2024;20;02/01/2024 20:00;India;0.0;0.0;19.35;21.57;0.0;2;1;20;358.055;15913.755000000001
02/01/2024;21;02/01/2024 21:00;India;0.0;0.0;17.93;23.9;0.0;2;1;21;358.055;16271.810000000001
02/01/2024;22;02/01/2024 22:00;India;0.0;0.0;18.82;22.38;0.0;2;1;22;358.055;16629.865
02/01/2024;23;02/01/2024 23:00;India;0.0;0.0;18.84;23.04;0.015;2;1;23;358.055;16987.920000000002
02/01/2024;0;02/01/2024 00:00;Australia;0.0;0.0;9.05;13.52;0.002;2;1;0;509.914;12502.162
02/01/2024;1;02/01/2024 01:00;Australia;0.0;0.0;9.28;13.59;0.0;2;1;1;509.914;13012.076000000001
02/01/2024;2;02/01/2024 02:00;Australia;0.0;0.0;8.28;12.74;0.0;2;1;2;509.914;13521.99
02/01/2024;3;02/01/2024 03:00;Australia;0.0;0.0;7.57;13.51;0.003;2;1;3;509.914;14031.904
02/01/2024;4;02/01/2024 04:00;Australia;0.0;0.0;8.19;13.69;0.0;2;1;4;509.914;14541.818000000001
02/01/2024;5;02/01/2024 05:00;Australia;10.323;9.141;8.48;11.67;0.14;2;1;5;509.914;15051.732
02/01/2024;6;02/01/2024 06:00;Australia;16.148;14.555;8.75;13.81;0.216;2;1;6;509.914;15561.646
02/01/2024;7;02/01/2024 07:00;Australia;22.759;20.908;7.91;14.98;0.381;2;1;7;509.914;16071.560000000001
02/01/2024;8;02/01/2024 08:00;Australia;32.785;29.588;8.29;12.39;0.52;2;1;8;509.914;16581.474000000002
02/01/2024;9;02/01/2024 09:00;Australia;49.38;43.045;8.12;13.27;0.757;2;1;9;509.914;17091.388
02/01/2024;10;02/01/2024 10:00;Australia;52.694;47.626;9.25;13.09;0.84;2;1;10;509.914;17601.302
02/01/2024;11;02/01/2024 11:00;Australia;69.612;61.809;7.97;11.98;1.059;2;1;11;509.914;18111.216
02/01/2024;12;02/01/2024 12:00;Australia;66.733;61.617;8.74;12.88;0.981;2;1;12;509.914;18621.13
02/01/2024;13;02/01/2024 13:00;Australia;63.588;56.656;9.07;12.97;1.019;2;1;13;509.914;19131.044
02/01/2024;14;02/01/2024 14:00;Australia;55.804;49.082;8.74;13.92;0.85;2;1;14;509.914;19640.958
02/01/2024;15;02/01/2024 15:00;Australia;46.477;40.856;7.51;11.99;0.664;2;1;15;509.914;20150.872
02/01/2024;16;02/01/2024 16:00;Australia;34.834;32.092;8.04;13.9;0.551;2;1;16;509.914;20660.786
02/01/2024;17;02/01/2024 17:00;Australia;23.823;19.911;9.02;13.87;0.334;2;1;17;509.914;21170.7
02/01/2024;18;02/01/2024 18:00;Australia;16.185;14.772;7.87;12.87;0.257;2;1;18;509.914;21680.614
02/01/2024;19;02/01/2024 19:00;Australia;9.015;8.256;8.41;13.7;0.12;2;1;19;509.914;22190.528
02/01/2024;20;02/01/2024 20:00;Australia;0.0;0.0;8.11;12.89;0.004;2;1;20;509.914;22700.442
02/01/2024;21;02/01/2024 21:00;Australia;0.0;0.0;8.6;11.41;0.0;2;1;21;509.914;23210.356
02/01/2024;22;02/01/2024 22:00;Australia;0.0;0.0;8.45;13.43;0.012;2;1;22;509.914;23720.27
02/01/2024;23;02/01/2024 23:00;Australia;0.0;0.0;7.94;13.79;0.025;2;1;23;509.914;24230.184
03/01/2024;0;03/01/2024 00:00;Norway;0.0;0.0;-10.19;-4.62;0.027;3;1;0;148.861;7241.029
03/01/2024;1;03/01/2024 01:00;Norway;0.0;0.0;-8.44;-5.12;0.0;3;1;1;148.861;7389.89
03/01/2024;2;03/01/2024 02:00;Norway;0.0;0.0;-10.12;-5.66;0.002;3;1;2;148.861;7538.751
03/01/2024;3;03/01/2024 03:00;Norway;0.0;0.0;-9.78;-6.01;0.0;3;1;3;148.861;7687.612
03/01/2024;4;03/01/2024 04:00;Norway;0.0;0.0;-9.92;-4.42;0.008;3;1;4;148.861;7836.473
03/01/2024;5;03/01/2024 05:00;Norway;0.0;0.0;-10.17;-4.17;0.03;3;1;5;148.861;7985.334
03/01/2024;6;03/01/2024 06:00;Norway;0.0;0.0;-10.01;-3.96;0.0;3;1;6;148.861;8134.195
03/01/2024;7;03/01/2024 07:00;Norway;0.0;0.0;-9.0;-5.26;0.0;3;1;7;148.861;8283.056
03/01/2024;8;03/01/2024 08:00;Norway;0.0;0.0;-9.62;-5.15;0.0;3;1;8;148.861;8431.917
03/01/2024;9;03/01/2024 09:00;Norway;0.0;0.0;-9.07;-5.39;0.023;3;1;9;148.861;8580.778
03/01/2024;10;03/01/2024 10:00;Norway;18.881;17.679;-9.5;-3.22;0.358;3;1;10;148.861;8729.639
03/01/2024;11;03/01/2024 11:00;Norway;40.734;36.54;-9.24;-4.61;0.826;3;1;11;148.861;8878.5
03/01/2024;12;03/01/2024 12:00;Norway;51.503;44.398;-9.55;-5.67;1.037;3;1;12;148.861;9027.361
03/01/2024;13;03/01/2024 13:00;Norway;36.624;33.128;-9.1;-5.46;0.765;3;1;13;148.861;9176.222
03/01/2024;14;03/01/2024 14:00;Norway;19.103;17.116;-9.51;-3.74;0.368;3;1;14;148.861;9325.083
03/01/2024;15;03/01/2024 15:00;Norway;0.0;0.0;-8.87;-6.2;0.0;3;1;15;148.861;9473.944
03/01/2024;16;03/01/2024 16:00;Norway;0.0;0.0;-10.55;-3.49;0.003;3;1;16;148.861;9622.805
03/01/2024;17;03/01/2024 17:00;Norway;0.0;0.0;-10.66;-3.94;0.013;3;1;17;148.861;9771.666
03/01/2024;18;03/01/2024 18:00;Norway;0.0;0.0;-9.04;-4.64;0.0;3;1;18;148.861;9920.527
03/01/2024;19;03/01/2024 19:00;Norway;0.0;0.0;-9.28;-5.34;0.0;3;1;19;148.861;10069.387999999999
03/01/2024;20;03/01/2024 20:00;Norway;0.0;0.0;-9.79;-2.97;0.0;3;1;20;148.861;10218.249
03/01/2024;21;03/01/2024 21:00;Norway;0.0;0.0;-9.5;-4.88;0.0;3;1;21;148.861;10367.11
03/01/2024;22;03/01/2024 22:00;Norway;0.0;0.0;-8.87;-6.75;0.0;3;1;22;148.861;10515.971
03/01/2024;23;03/01/2024 23:00;Norway;0.0;0.0;-8.36;-5.25;0.0;3;1;23;148.861;10664.832
03/01/2024;0;03/01/2024 00:00;Brazil;0.0;0.0;20.99;23.05;0.0;3;1;0;496.585;24441.385000000002
03/01/2024;1;03/01/2024 01:00;Brazil;0.0;0.0;19.85;25.37;0.0;3;1;1;496.585;24937.97
03/01/2024;2;03/01/2024 02:00;Brazil;0.0;0.0;20.99;23.8;0.032;3;1;2;496.585;25434.555
03/01/2024;3;03/01/2024 03:00;Brazil;0.0;0.0;20.37;24.52;0.0;3;1;3;496.585;25931.14
03/01/2024;4;03/01/2024 04:00;Brazil;0.0;0.0;20.34;24.75;0.0;3;1;4;496.585;26427.725000000002
03/01/2024;5;03/01/2024 05:00;Brazil;0.0;0.0;19.25;25.54;0.0;3;1;5;496.585;26924.31
03/01/2024;6;03/01/2024 06:00;Brazil;12.36;10.978;20.26;24.92;0.154;3;1;6;496.585;27420.895
03/01/2024;7;03/01/2024 07:00;Brazil;20.929;19.712;20.25;24.64;0.306;3;1;7;496.585;27917.48
03/01/2024;8;03/01/2024 08:00;Brazil;30.824;28.614;21.17;25.83;0.427;3;1;8;496.585;28414.065000000002
03/01/2024;9;03/01/2024 09:00;Brazil;50.479;48.725;20.58;24.17;0.71;3;1;9;496.585;28910.65
